Align.	Cycles/(byte accessed)
------	----------------------
0	0.95
1	0.88
2	0.86
3	0.87
4	0.86
5	0.88
6	0.86
7	0.87
8	0.86
9	0.88
10	0.86
11	0.88
12	0.86
13	0.88
14	0.86
15	0.87
16	0.86
17	0.88
18	0.86
19	0.88
20	0.86
21	0.88
22	0.86
23	0.88
24	0.86
25	0.88
26	0.86
27	0.87
28	0.86
29	0.87
30	0.86
31	0.87
32	0.86
33	0.87
34	0.86
35	0.88
36	0.86
37	0.88
38	0.86
39	0.88
40	0.86
41	0.88
42	0.86
43	0.88
44	0.86
45	0.88
46	0.86
47	0.88
48	0.86
49	0.88
50	0.86
51	0.87
52	0.86
53	0.88
54	0.86
55	0.89
56	0.86
57	0.88
58	0.86
59	0.87
60	0.86
61	0.88
62	0.86
63	0.88
64	0.86
